City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,banda aceh,5.5577,95.3222,27.32,76,97,2.24,ID,1720468583
84,badiyah,22.45,58.8,30.21,55,25,2.93,OM,1720468585
85,vorgashor,67.5833,63.95,11.87,78,1,3.03,RU,1720468589
86,thompson,55.7435,-97.8558,25.09,38,75,4.63,CA,1720468591
87,touros,-5.1989,-35.4608,25.42,78,95,5.52,BR,1720468593
88,nova sintra,14.8667,-24.7167,24.59,89,100,3.83,CV,1720468595
89,gadzhiyevo,69.2551,33.3362,14.71,77,0,3.48,RU,1720468597
90,colonia,50.9333,6.95,20.63,65,0,1.54,DE,1720468599
91,lucapa,-8.4192,20.7447,20.57,20,23,0.78,AO,1720468601
92,nova vicosa,-17.8919,-39.3719,24.87,74,15,4.32,BR,1720468603
93,kingston,17.997,-76.7936,32.87,70,20,10.8,JM,1720468483
94,socorro,31.6546,-106.3033,32.92,33,20,3.6,US,1720468557
95,port mathurin,-19.6833,63.4167,22.58,78,80,2.46,MU,1720468610
96,isperih,43.7167,26.8333,24.4,41,63,3.27,BG,1720468612
97,illela,13.7292,5.2975,34.01,40,90,7.25,NG,1720468614
98,sao felix do xingu,-6.6447,-51.995,33.39,35,62,3.11,BR,1720468616
99,freetown,8.484,-13.2299,23.86,93,100,4.93,SL,1720468618
100,guerrero negro,27.9769,-114.0611,24.18,64,2,7.72,MX,1720468620
101,aioun,16.6614,-9.6149,36.03,24,21,5.55,MR,1720468622
102,cartagena,10.3997,-75.5144,32.79,66,20,7.2,CO,1720468481
103,puerto ayora,-0.7393,-90.3518,25.98,94,90,3.58,EC,1720468626
104,tympaki,35.0729,24.7685,29.5,38,0,0.89,GR,1720468628
105,kapa'a,22.0752,-159.319,27.33,75,40,8.23,US,1720468630
106,bayside,40.8424,-124.0637,18.64,79,20,2.57,US,1720468632
107,port-vila,-17.7338,168.3219,22.78,83,100,6.17,VU,1720468634
108,huautla de jimenez,18.1315,-96.8409,25.6,49,100,3.03,MX,1720468636
109,frostburg,39.6581,-78.9284,33.74,37,0,2.06,US,1720468349
110,anna regina,7.2644,-58.5077,28.52,69,100,3.2,GY,1720468642
111,uruzgan,32.8333,66.0,24.7,13,0,0.76,AF,1720468644
112,cobija,-11.0267,-68.7692,28.1,57,75,2.57,BO,1720468646
113,port alfred,-33.5906,26.891,11.77,51,47,3.13,ZA,1720468648
114,akrehamn,59.2667,5.1833,14.14,72,20,3.09,NO,1720468651
115,riccione,44.0051,12.6447,27.38,75,0,1.54,IT,1720468653
